,SMILES,mu,alpha,homo,lumo,gap,r2,zpve,U0,U,H,G,Cv
QM9[13644],C#CC#C[C@@H]1C[C@@H]1C,1.5768,89.61,-0.2276,-0.0109,0.2167,1350.5081,0.128596,-309.409234,-309.400719,-309.399774,-309.442354,31.304
QM9[8324],O=C1CC2(CCC2)N1,3.8865,69.24,-0.2466,0.0381,0.2847,988.4671,0.142932,-363.879177,-363.871924,-363.870979,-363.910848,27.91
QM9[27210],Nc1ncn2c1C=CC2,2.7804,81.94,-0.1731,-0.0109,0.1623,1041.3506,0.128211,-396.973335,-396.966233,-396.965289,-397.00465,27.959
QM9[88257],CC(=O)C(=O)[C@@H]1C[C@@H]1C,0.8695,78.44,-0.2353,-0.0784,0.1569,1360.23,0.156378,-423.056136,-423.046235,-423.045291,-423.091865,35.223
QM9[91316],CC1(C)CN2C[C@@H](O)[C@H]21,1.4896,81.68,-0.2093,0.0539,0.2632,1141.273,0.193651,-404.300034,-404.290847,-404.289903,-404.333738,35.777
QM9[24550],c1ncc2cncc-2o1,2.6038,74.24,-0.2198,-0.091,0.1288,925.6972,0.093015,-415.63823,-415.632332,-415.631388,-415.668456,23.26
QM9[90252],O[C@H]1C[C@]23CO[C@@H]2[C@H]1O3,1.3591,68.17,-0.2543,0.0167,0.271,979.504,0.13612,-458.817136,-458.810189,-458.809245,-458.848164,28.731
QM9[97567],CCC#C[C@@H](N)C(N)=O,4.1619,81.7,-0.2324,0.0248,0.2571,1782.3207,0.158079,-419.212815,-419.20198,-419.201036,-419.250653,37.863
QM9[12181],O=C[C@@H]1NC(=O)[C@H]1O,3.3966,56.64,-0.2573,-0.0443,0.213,930.6262,0.093908,-435.750324,-435.742512,-435.741568,-435.783072,27.091
QM9[125364],Cc1c[nH]c2cnoc12,4.7073,74.48,-0.2149,-0.0101,0.2048,1030.3178,0.1149,-416.815007,-416.807736,-416.806792,-416.846693,27.603
QM9[94242],C[C@H]1OC[C@]1(C)OC=O,3.0903,72.74,-0.2636,-0.001,0.2626,1309.3907,0.156245,-460.170532,-460.160953,-460.160009,-460.205121,34.439
QM9[97966],CC(C)CCC#CCO,1.2705,92.99,-0.2398,0.0378,0.2776,2536.5072,0.202573,-388.264986,-388.253184,-388.25224,-388.30453,40.82
QM9[111266],CN[C@@H]1C(=O)[C@]2(C)N[C@H]12,4.3139,77.56,-0.2161,-0.0169,0.1992,1263.9886,0.158287,-419.167475,-419.158149,-419.157205,-419.201729,34.01
QM9[97168],C#CC1=CCO/C1=N\C,2.5814,85.37,-0.2335,-0.0454,0.1881,1226.1141,0.122947,-400.736315,-400.727515,-400.72657,-400.770925,31.453
QM9[54741],CC(=O)[C@H]1[C@H]2C(=O)CN21,3.2248,70.09,-0.2516,-0.0408,0.2108,1090.3685,0.12214,-437.866166,-437.857743,-437.856798,-437.900619,30.383
QM9[46096],C#CCC1=CC(=O)CC1,3.5924,82.31,-0.2359,-0.0435,0.1924,1408.8032,0.134908,-384.699448,-384.690781,-384.689837,-384.733707,31.823
QM9[63918],CC1(C)O[C@H]2C[C@@H]3[C@H]2[C@@H]31,1.4595,80.83,-0.2338,0.0872,0.321,1006.6955,0.183071,-387.073368,-387.065453,-387.064509,-387.105094,32.602
QM9[108340],CC[C@]12OC[C@H]1N1C[C@H]12,0.7909,77.36,-0.2281,0.0561,0.2842,1066.4029,0.171089,-403.072153,-403.06409,-403.063146,-403.104665,31.746
QM9[3935],Oc1cnncn1,3.2241,50.29,-0.2453,-0.0655,0.1798,581.2202,0.069261,-355.513035,-355.508016,-355.507072,-355.541787,18.491
QM9[7260],C[C@@H](O)C(=N)NC=O,3.6601,63.56,-0.2501,-0.0239,0.2261,1113.5659,0.13001,-417.092283,-417.083671,-417.082727,-417.125851,30.659
QM9[64849],C#C[C@]1(C)C[C@H](C#N)N1,4.822,79.79,-0.2601,0.0019,0.262,1305.4566,0.13461,-380.82623,-380.817246,-380.816301,-380.859929,33.672
QM9[5265],OCCc1cc[nH]c1,2.5457,70.67,-0.2017,0.0484,0.2501,1219.7543,0.143562,-363.892741,-363.884709,-363.883765,-363.925918,29.297
QM9[20959],CCOc1cn[nH]n1,1.4479,63.41,-0.2312,0.0026,0.2338,1113.1949,0.120431,-395.980664,-395.973179,-395.972235,-396.013071,26.446
QM9[118980],CCC[C@]1(C)C=CCC1,0.0845,94.4,-0.2345,0.0278,0.2623,1485.8905,0.228916,-352.380714,-352.370619,-352.369674,-352.415786,38.472
QM9[19496],C#C[C@@H]1[C@@H]2COC[C@@H]21,1.915,70.1,-0.2409,0.0494,0.2904,810.927,0.13114,-346.558255,-346.551216,-346.550272,-346.589385,27.007
QM9[29471],Oc1c[nH]c2c1C=CC2,1.8739,78.04,-0.1807,0.0083,0.189,1064.3719,0.126344,-400.780833,-400.773335,-400.77239,-400.812442,29.539
QM9[91050],O[C@H]1C[C@H]2[C@H]3N[C@H]3[C@@]12O,2.6059,70.24,-0.224,0.0589,0.2829,941.532,0.148129,-439.007713,-439.000122,-438.999178,-439.039185,31.158
QM9[102754],CCN(C=O)C[C@H]1CO1,2.5388,77.44,-0.2412,0.0279,0.2691,1418.1467,0.169761,-440.286551,-440.276714,-440.27577,-440.322882,34.528
QM9[80144],C[C@]12COC=N[C@H]1[C@H]2O,2.7104,71.96,-0.2339,0.0084,0.2422,979.6002,0.148383,-439.075797,-439.067695,-439.066751,-439.107904,31.486
QM9[106478],CNC12CN(CC1=O)C2,2.4077,75.27,-0.2082,-0.0128,0.1954,1054.8954,0.160837,-419.17319,-419.165171,-419.164227,-419.205607,31.299
QM9[52480],CC#CC#C[C@@]1(C)CN1,1.7875,104.24,-0.2205,-0.0105,0.2099,2126.6677,0.14544,-364.751431,-364.741147,-364.740203,-364.78917,35.675
QM9[6994],C[C@H]1CC(=O)C1(C)C,2.7778,75,-0.2321,-0.0135,0.2186,975.7708,0.174603,-349.027741,-349.018577,-349.017633,-349.061064,34.053
QM9[82804],C[C@@H]1[C@@H]2[C@H]3C[C@H](C3)O[C@@H]21,1.2908,81.11,-0.2302,0.0802,0.3104,1003.3552,0.185387,-387.053265,-387.045913,-387.044969,-387.084605,30.758
QM9[89720],CC1=C[C@@H](O)CC12CC2,2.0926,85.47,-0.2276,0.017,0.2446,1204.0896,0.182523,-387.09546,-387.086487,-387.085543,-387.128989,35.001
QM9[47825],O=C1OCCC[C@H]2N[C@@H]12,4.6509,72.47,-0.2515,0.0002,0.2518,1069.5432,0.150184,-439.093259,-439.085555,-439.084611,-439.126013,29.439
QM9[67110],C[C@@]12[C@H]3OC[C@@]14CN2[C@@H]34,1.5078,75.11,-0.2284,0.0821,0.3105,879.6579,0.148682,-401.828641,-401.821769,-401.820825,-401.859449,28.286
QM9[53544],CC#CC[C@@]1(C#N)CO1,3.4443,77.88,-0.2588,0.0024,0.2612,1444.8871,0.121422,-400.710787,-400.701019,-400.700075,-400.748233,33.084
QM9[102488],COC(=O)[C@H](CO)OC,1.9617,69.38,-0.2604,0.0041,0.2645,1416.2346,0.156327,-497.31154,-497.300869,-497.299925,-497.348207,36.234
QM9[56071],NC(=O)O/C=N/CC=O,4.5137,68.5,-0.2497,-0.0259,0.2238,1954.0548,0.109132,-491.128729,-491.118639,-491.117695,-491.166484,32.792
QM9[59662],C[C@@H](O)[C@H]1OCC1(C)C,1.136,81.62,-0.2408,0.0639,0.3047,1298.3445,0.203157,-425.416564,-425.406026,-425.405082,-425.451877,39.281
QM9[22023],Nc1c[nH]nc/c1=N\O,3.3343,79.18,-0.1706,-0.0168,0.1538,1115.1923,0.114613,-450.08668,-450.078628,-450.077684,-450.118874,31.125
QM9[37850],C1[C@H]2[C@@H]3O[C@H]2[C@H]2O[C@@H]3[C@@H]12,3.0809,68.54,-0.2265,0.039,0.2656,774.6306,0.140299,-421.779917,-421.774673,-421.773729,-421.80921,23.713
QM9[10718],NCC1(C(=O)O)CC1,6.1164,64.49,-0.2502,0.0287,0.2789,923.1943,0.143464,-401.025499,-401.017714,-401.01677,-401.057573,29.475
QM9[30269],O[C@@H]1Cc2nccn2C1,2.787,73.8,-0.2184,0.0312,0.2497,1045.2449,0.13958,-418.051839,-418.044699,-418.043755,-418.083507,28.027
QM9[59529],CC(C)N1CC2(CO2)C1,2.2693,84.33,-0.2151,0.0779,0.293,1488.0991,0.192332,-404.303477,-404.294002,-404.293058,-404.337683,35.898
QM9[47027],O=C1C=C2NC[C@@H]2CO1,6.5115,73.94,-0.2286,-0.019,0.2097,1084.8143,0.127008,-437.905822,-437.898795,-437.897851,-437.937282,27.491
QM9[41308],C1[C@H]2O[C@@]34CC[C@]23C[C@H]14,1.5797,77.29,-0.2204,0.0751,0.2955,862.3567,0.162126,-385.798617,-385.792418,-385.791474,-385.828593,27.46
QM9[96769],C/N=C1\[C@@H](O)[C@H]2[C@@H](C)N12,2.6537,78.32,-0.2314,0.0033,0.2347,1125.755,0.15803,-419.154896,-419.145644,-419.1447,-419.188596,34.285
QM9[34525],N#C[C]1[N][C@H]2C[C@H](C2)O1,5.599,71.51,-0.275,-0.0539,0.2211,1038.8608,0.115227,-416.807977,-416.801282,-416.800338,-416.83911,26.285
QM9[43037],N#C[C@@]12C(=O)[C@H]3N[C@@H]1[C@H]32,6.0601,68.15,-0.2531,-0.0269,0.2262,956.0456,0.090067,-415.555544,-415.54875,-415.547806,-415.5869,25.931
QM9[1275],CCCCC(C)=O,2.5767,68.54,-0.2413,-0.0069,0.2344,1271.3575,0.168818,-310.954514,-310.945247,-310.944303,-310.989533,31.44
QM9[90385],C[C@H]1C[C@H]2[C@@H](C#N)[C@@]12O,3.2358,76.29,-0.2654,0.0289,0.2943,1077.1528,0.146993,-401.935357,-401.926621,-401.925677,-401.968339,33.161
QM9[70435],O[C@]12C[C@H]1NC21COC1,2.5502,71.18,-0.2176,0.056,0.2736,1040.0929,0.147339,-438.999946,-438.991944,-438.991,-439.03251,31.033
QM9[4068],COC1CC(=NO)C1,1.3596,69.84,-0.2423,0.0063,0.2485,1260.0502,0.14004,-400.9337,-400.925175,-400.924231,-400.96708,30.669
